"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 20","65.90","69.22","71.22","45.17","1.58B","-2.40%"
"Feb 20","67.52","58.92","79.08","58.86","1.19B","14.23%"
"Apr 20","73.07","63.91","76.05","59.60","1.13B","10.88%"
"May 20","88.75","71.09","91.82","70.21","1.26B","21.46%"
"Jun 20","94.98","88.33","96.42","86.58","972.01M","7.02%"
"Jul 20","106.15","95.21","107.92","94.13","809.53M","11.76%"
"Oct 20","125.34","137.58","143.48","123.00","802.37M","-7.37%"
"Jan 21","129.90","131.04","139.99","125.86","615.54M","-0.50%"
"Dec 20","130.55","134.92","137.31","127.63","512.28M","-2.58%"
"Mar 21","133.48","138.75","139.25","115.67","764.95M","-2.68%"
"Aug 20","133.75","107.33","135.75","107.15","967.39M","26.00%"
"Nov 20","134.01","126.58","146.91","123.95","759.61M","6.92%"
"Sep 20","135.31","134.80","147.27","117.04","1.59B","1.17%"
"Feb 21","137.15","130.53","153.72","129.03","668.15M","5.58%"
"Apr 21","150.09","135.72","162.14","135.11","671.91M","12.44%"
"May 21","162.44","151.25","162.77","134.59","705.47M","8.23%"
"Jul 21","194.99","201.25","208.75","178.66","782.37M","-2.52%"
"Jun 21","200.03","162.70","201.62","159.03","1.03B","23.14%"
"Sep 21","207.16","224.85","229.86","204.67","499.96M","-7.46%"
"Aug 21","223.85","197.00","230.43","187.62","641.69M","14.80%"
"Oct 21","255.67","207.50","257.09","195.55","497.11M","23.42%"
"Jan 22","272.47","298.27","306.86","270.57","40.99M","-7.36%"
"Dec 21","294.11","332.19","332.89","271.45","1.11B","-9.99%"
"Nov 21","326.76","256.49","346.47","252.27","1.08B","27.81%"